Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.2071	00.00.00	0.0	-10.3232075471698	-10.3232075471698	0.0
02.01.2071	00.00.00	0.0	-17.5050435865504	-17.5050435865504	0.0
03.01.2071	00.00.00	2.3	-4.25	-4.25	0.0
04.01.2071	00.00.00	1.4	-1.95	-1.95	0.0
05.01.2071	00.00.00	0.0	-5.46123595505618	-5.46123595505618	0.0
06.01.2071	00.00.00	0.0	-9.32283018867925	-9.32283018867925	0.0
07.01.2071	00.00.00	0.1	-3.225	-3.225	0.0
08.01.2071	00.00.00	32.3409948542024	-0.45	-0.45	0.0
09.01.2071	00.00.00	29.9204116638079	0.9	0.9	0.0
10.01.2071	00.00.00	16.7384615384615	-0.21551724137929	-0.21551724137929	0.0
11.01.2071	00.00.00	6.7	-2.15	-2.15	0.0
12.01.2071	00.00.00	8.32857142857143	0.25	0.25	0.0
13.01.2071	00.00.00	21.4899159663866	2.55	2.55	0.0
14.01.2071	00.00.00	0.0	0.85	0.85	0.0
15.01.2071	00.00.00	0.9	1.91666666666667	1.91666666666667	0.0
16.01.2071	00.00.00	3.4	1.91666666666667	1.91666666666667	0.0
17.01.2071	00.00.00	0.0	-1.75	-1.75	0.0
18.01.2071	00.00.00	4.7	-2.6	-2.6	0.0
19.01.2071	00.00.00	1.6	-4.62910447761194	-4.62910447761194	0.0
20.01.2071	00.00.00	3.74000000000012	-3.3	-3.3	0.0
21.01.2071	00.00.00	5.35	-1.25	-1.25	0.0
22.01.2071	00.00.00	0.6	-1.45	-1.45	0.0
23.01.2071	00.00.00	0.0	-6.75	-6.75	0.0
24.01.2071	00.00.00	0.0	-12.122104607721	-12.122104607721	0.0
25.01.2071	00.00.00	6.96666666666667	-4.89776119402986	-4.89776119402986	0.0
26.01.2071	00.00.00	17.3846153846154	-0.583333333333333	-0.583333333333333	0.0
27.01.2071	00.00.00	0.0	-1.38333333333333	-1.38333333333333	0.0
28.01.2071	00.00.00	0.0	-1.38333333333333	-1.38333333333333	0.0
29.01.2071	00.00.00	31.6349914236707	0.55	0.55	0.0
30.01.2071	00.00.00	0.0	1.05	1.05	0.0
31.01.2071	00.00.00	6.7	2.68333333333333	2.68333333333333	0.0
01.02.2071	00.00.00	2.6	3.25	3.25	0.0
02.02.2071	00.00.00	0.0	1.6	1.6	0.0
03.02.2071	00.00.00	20.1307692307693	4.65	4.65	0.0
04.02.2071	00.00.00	19.19375	2.25	2.25	0.0
05.02.2071	00.00.00	0.0	-0.516666666666667	-0.516666666666667	0.0
06.02.2071	00.00.00	6.5	2.05	2.05	0.0
07.02.2071	00.00.00	6.88333333333333	2.35	2.35	0.0
08.02.2071	00.00.00	0.0	1.98333333333333	1.98333333333333	0.0
09.02.2071	00.00.00	0.0	1.65	1.65	0.0
10.02.2071	00.00.00	0.1	2.75	2.75	0.0
11.02.2071	00.00.00	0.0	2.95	2.95	0.0
12.02.2071	00.00.00	0.0	2.3	2.3	0.0
13.02.2071	00.00.00	3.82307692307708	2.68333333333333	2.68333333333333	0.0
14.02.2071	00.00.00	0.0	0.4	0.4	0.0
15.02.2071	00.00.00	0.0	-4.71865671641791	-4.71865671641791	0.0
16.02.2071	00.00.00	0.0	-5.46123595505618	-5.46123595505618	0.0
17.02.2071	00.00.00	0.0	-6.35	-6.35	0.0
18.02.2071	00.00.00	0.0	-10.7779245283019	-10.7779245283019	0.0
19.02.2071	00.00.00	0.0	-7.70454545454545	-7.70454545454545	0.0
20.02.2071	00.00.00	0.0	-7.78636363636364	-7.78636363636364	0.0
21.02.2071	00.00.00	0.0	-5.65	-5.65	0.0
22.02.2071	00.00.00	2.0	-1.95	-1.95	0.0
23.02.2071	00.00.00	1.8	-1.85	-1.85	0.0
24.02.2071	00.00.00	0.0	-4.98932584269664	-4.98932584269664	0.0
25.02.2071	00.00.00	4.175	-3.05	-3.05	0.0
26.02.2071	00.00.00	1.9	2.35	2.35	0.0
27.02.2071	00.00.00	2.0	0.25	0.25	0.0
28.02.2071	00.00.00	0.0	2.25	2.25	0.0
01.03.2071	00.00.00	0.0	1.6	1.6	0.0
02.03.2071	00.00.00	0.2	0.35	0.35	0.0
03.03.2071	00.00.00	4.93333333333333	0.65	0.65	0.0
04.03.2071	00.00.00	3.0	0.85	0.85	0.0
05.03.2071	00.00.00	6.8	1.55	1.55	0.0
06.03.2071	00.00.00	0.0	-1.95	-1.95	0.0
07.03.2071	00.00.00	5.82	1.05	1.05	0.0
08.03.2071	00.00.00	0.0	0.95	0.95	0.0
09.03.2071	00.00.00	10.8714285714286	3.85	3.85	0.0
10.03.2071	00.00.00	5.74	1.15	1.15	0.0
11.03.2071	00.00.00	0.0	0.35	0.35	0.0
12.03.2071	00.00.00	0.0	-2.05	-2.05	0.0
13.03.2071	00.00.00	0.0	-0.05	-0.05	0.0
14.03.2071	00.00.00	0.0	-2.85	-2.85	0.0
15.03.2071	00.00.00	0.0	-3.7	-3.7	0.0
16.03.2071	00.00.00	0.0	-2.75	-2.75	0.0
17.03.2071	00.00.00	5.58	0.95	0.95	0.0
18.03.2071	00.00.00	0.0	0.55	0.55	0.0
19.03.2071	00.00.00	0.0	0.85	0.85	0.0
20.03.2071	00.00.00	0.0	0.9	0.9	0.0
21.03.2071	00.00.00	0.0	0.25	0.25	0.0
22.03.2071	00.00.00	0.0	0.05	0.05	0.0
23.03.2071	00.00.00	0.0	1.35	1.35	0.0
24.03.2071	00.00.00	0.0	3.85	3.85	0.0
25.03.2071	00.00.00	1.2	6.35	6.35	0.0
26.03.2071	00.00.00	7.6	6.65	6.65	0.0
27.03.2071	00.00.00	9.2	7.75	7.75	0.0
28.03.2071	00.00.00	0.0	3.95	3.95	0.0
29.03.2071	00.00.00	0.0	4.75	4.75	0.0
30.03.2071	00.00.00	0.0	4.55	4.55	0.0
31.03.2071	00.00.00	0.0	3.85	3.85	0.0
01.04.2071	00.00.00	0.0	4.55	4.55	0.0
02.04.2071	00.00.00	5.35	4.28333333333333	4.28333333333333	0.0
03.04.2071	00.00.00	4.6	4.15	4.15	0.0
04.04.2071	00.00.00	10.3	3.95	3.95	0.0
05.04.2071	00.00.00	4.93333333333333	5.71666666666667	5.71666666666667	0.0
06.04.2071	00.00.00	0.1	5.15	5.15	0.0
07.04.2071	00.00.00	0.0	6.95	6.95	0.0
08.04.2071	00.00.00	0.0	7.15	7.15	0.0
09.04.2071	00.00.00	0.0	6.85	6.85	0.0
10.04.2071	00.00.00	0.0	7.65	7.65	0.0
11.04.2071	00.00.00	0.0	7.85	7.85	0.0
12.04.2071	00.00.00	0.0	5.85	5.85	0.0
13.04.2071	00.00.00	0.0	7.55	7.55	0.0
14.04.2071	00.00.00	0.2	3.55	3.55	0.0
15.04.2071	00.00.00	0.0	3.15	3.15	0.0
16.04.2071	00.00.00	0.0	3.05	3.05	0.0
17.04.2071	00.00.00	0.1	2.95	2.95	0.0
18.04.2071	00.00.00	0.0	4.21666666666667	4.21666666666667	0.0
19.04.2071	00.00.00	4.5	5.25	5.25	0.0
20.04.2071	00.00.00	5.35	3.25	3.25	0.0
21.04.2071	00.00.00	0.0	5.25	5.25	0.0
22.04.2071	00.00.00	1.2	4.75	4.75	0.0
23.04.2071	00.00.00	0.0	6.21666666666667	6.21666666666667	0.0
24.04.2071	00.00.00	0.0	7.75	7.75	0.0
25.04.2071	00.00.00	23.6642857142858	7.15	7.15	0.0
26.04.2071	00.00.00	15.4384615384615	8.95	8.95	0.0
27.04.2071	00.00.00	1.7	8.45	8.45	0.0
28.04.2071	00.00.00	0.2	6.65	6.65	0.0
29.04.2071	00.00.00	15.6076923076923	6.85	6.85	0.0
30.04.2071	00.00.00	7.97142857142857	10.8541666666667	10.8541666666667	0.0
01.05.2071	00.00.00	0.6	10.2166666666667	10.2166666666667	0.0
02.05.2071	00.00.00	35.2117290748899	7.55	7.55	0.0
03.05.2071	00.00.00	0.0	8.95	8.95	0.0
04.05.2071	00.00.00	0.1	8.85	8.85	0.0
05.05.2071	00.00.00	0.0	9.55	9.55	0.0
06.05.2071	00.00.00	0.0	10.2833333333333	10.2833333333333	0.0
07.05.2071	00.00.00	0.0	9.88333333333333	9.88333333333333	0.0
08.05.2071	00.00.00	0.0	12.25	12.25	0.0
09.05.2071	00.00.00	0.0	13.75	13.75	0.0
10.05.2071	00.00.00	0.0	14.933870967742	14.933870967742	0.0
11.05.2071	00.00.00	0.0	15.45	15.45	0.0
12.05.2071	00.00.00	0.0	16.20625	16.20625	0.0
13.05.2071	00.00.00	0.0	14.35	14.35	0.0
14.05.2071	00.00.00	0.0	14.933870967742	14.933870967742	0.0
15.05.2071	00.00.00	0.0	14.5155172413794	14.5155172413794	0.0
16.05.2071	00.00.00	1.7	12.85	12.85	0.0
17.05.2071	00.00.00	5.9	13.15	13.15	0.0
18.05.2071	00.00.00	0.0	15.1833333333333	15.1833333333333	0.0
19.05.2071	00.00.00	0.6	12.05	12.05	0.0
20.05.2071	00.00.00	5.82	12.25	12.25	0.0
21.05.2071	00.00.00	11.4888888888889	11.95	11.95	0.0
22.05.2071	00.00.00	0.7	16.325	16.325	0.0
23.05.2071	00.00.00	0.1	14.25	14.25	0.0
24.05.2071	00.00.00	8.4	9.75	9.75	0.0
25.05.2071	00.00.00	0.0	11.75	11.75	0.0
26.05.2071	00.00.00	0.1	12.65	12.65	0.0
27.05.2071	00.00.00	4.8	11.95	11.95	0.0
28.05.2071	00.00.00	0.0	15.55	15.55	0.0
29.05.2071	00.00.00	5.58	15.45	15.45	0.0
30.05.2071	00.00.00	0.0	17.6875	17.6875	0.0
31.05.2071	00.00.00	6.2	16.64	16.64	0.0
01.06.2071	00.00.00	0.0	18.525	18.525	0.0
02.06.2071	00.00.00	0.0	12.65	12.65	0.0
03.06.2071	00.00.00	0.0	12.25	12.25	0.0
04.06.2071	00.00.00	0.0	12.15	12.15	0.0
05.06.2071	00.00.00	0.0	12.85	12.85	0.0
06.06.2071	00.00.00	0.0	13.25	13.25	0.0
07.06.2071	00.00.00	0.0	13.85	13.85	0.0
08.06.2071	00.00.00	0.0	12.35	12.35	0.0
09.06.2071	00.00.00	0.9	11.45	11.45	0.0
10.06.2071	00.00.00	11.5666666666667	11.55	11.55	0.0
11.06.2071	00.00.00	2.16666666666667	11.45	11.45	0.0
12.06.2071	00.00.00	9.4	10.65	10.65	0.0
13.06.2071	00.00.00	4.175	12.05	12.05	0.0
14.06.2071	00.00.00	0.0	14.8177419354839	14.8177419354839	0.0
15.06.2071	00.00.00	0.0	15.75	15.75	0.0
16.06.2071	00.00.00	0.0	17.8	17.8	0.0
17.06.2071	00.00.00	0.0	20.9957142857143	20.9957142857143	0.0
18.06.2071	00.00.00	0.0	21.1785714285714	21.1785714285714	0.0
19.06.2071	00.00.00	0.0	21.7271428571429	21.7271428571429	0.0
20.06.2071	00.00.00	0.0	19.5328571428571	19.5328571428571	0.0
21.06.2071	00.00.00	0.0	17.9125	17.9125	0.0
22.06.2071	00.00.00	0.0	18.4333333333333	18.4333333333333	0.0
23.06.2071	00.00.00	0.0	15.85	15.85	0.0
24.06.2071	00.00.00	0.0	15.85	15.85	0.0
25.06.2071	00.00.00	23.2357142857143	12.95	12.95	0.0
26.06.2071	00.00.00	6.4	14.35	14.35	0.0
27.06.2071	00.00.00	0.1	17.35	17.35	0.0
28.06.2071	00.00.00	0.0	18.9833333333333	18.9833333333333	0.0
29.06.2071	00.00.00	0.0	18.9833333333333	18.9833333333333	0.0
30.06.2071	00.00.00	2.0	17.05	17.05	0.0
01.07.2071	00.00.00	0.3	15.05	15.05	0.0
02.07.2071	00.00.00	10.075	13.15	13.15	0.0
03.07.2071	00.00.00	0.0	15.3166666666667	15.3166666666667	0.0
04.07.2071	00.00.00	0.0	19.4414285714286	19.4414285714286	0.0
05.07.2071	00.00.00	0.0	20.1728571428571	20.1728571428571	0.0
06.07.2071	00.00.00	0.0	21.1785714285714	21.1785714285714	0.0
07.07.2071	00.00.00	0.0	22.0928571428571	22.0928571428571	0.0
08.07.2071	00.00.00	0.0	22.95	22.95	0.0
09.07.2071	00.00.00	0.0	22.85	22.85	0.0
10.07.2071	00.00.00	0.0	22.3671428571429	22.3671428571429	0.0
11.07.2071	00.00.00	0.0	21.91	21.91	0.0
12.07.2071	00.00.00	0.0	21.1785714285714	21.1785714285714	0.0
13.07.2071	00.00.00	0.0	19.99	19.99	0.0
14.07.2071	00.00.00	33.3495711835334	18.025	18.025	0.0
15.07.2071	00.00.00	22.2966386554622	16.0875	16.0875	0.0
16.07.2071	00.00.00	1.5	17.8	17.8	0.0
17.07.2071	00.00.00	10.7571428571429	15.85	15.85	0.0
18.07.2071	00.00.00	0.1	16.325	16.325	0.0
19.07.2071	00.00.00	46.1809467803588	15.55	15.55	0.0
20.07.2071	00.00.00	41.141024229075	13.65	13.65	0.0
21.07.2071	00.00.00	6.5	18.9833333333333	18.9833333333333	0.0
22.07.2071	00.00.00	6.6	20.0814285714286	20.0814285714286	0.0
23.07.2071	00.00.00	8.11428571428572	19.2583333333333	19.2583333333333	0.0
24.07.2071	00.00.00	0.0	17.575	17.575	0.0
25.07.2071	00.00.00	1.6	15.05	15.05	0.0
26.07.2071	00.00.00	3.58000000000004	14.15	14.15	0.0
27.07.2071	00.00.00	2.23333333333333	13.85	13.85	0.0
28.07.2071	00.00.00	8.7	14.05	14.05	0.0
29.07.2071	00.00.00	5.74	16.20625	16.20625	0.0
30.07.2071	00.00.00	36.9685572687225	16.43	16.43	0.0
31.07.2071	00.00.00	0.7	18.25	18.25	0.0
01.08.2071	00.00.00	0.166666666666606	15.55	15.55	0.0
02.08.2071	00.00.00	1.5	15.65	15.65	0.0
03.08.2071	00.00.00	0.0	19.4414285714286	19.4414285714286	0.0
04.08.2071	00.00.00	1.8	16.85	16.85	0.0
05.08.2071	00.00.00	0.0	14.8177419354839	14.8177419354839	0.0
06.08.2071	00.00.00	0.0	16.325	16.325	0.0
07.08.2071	00.00.00	0.0	17.15	17.15	0.0
08.08.2071	00.00.00	0.0	19.99	19.99	0.0
09.08.2071	00.00.00	0.0	21.3614285714286	21.3614285714286	0.0
10.08.2071	00.00.00	0.0	21.5442857142857	21.5442857142857	0.0
11.08.2071	00.00.00	0.0	21.7271428571429	21.7271428571429	0.0
12.08.2071	00.00.00	0.0	21.7271428571429	21.7271428571429	0.0
13.08.2071	00.00.00	0.0	21.5442857142857	21.5442857142857	0.0
14.08.2071	00.00.00	0.0	21.91	21.91	0.0
15.08.2071	00.00.00	0.0	20.9957142857143	20.9957142857143	0.0
16.08.2071	00.00.00	0.0	20.8128571428571	20.8128571428571	0.0
17.08.2071	00.00.00	0.0	20.63	20.63	0.0
18.08.2071	00.00.00	0.0	19.1666666666667	19.1666666666667	0.0
19.08.2071	00.00.00	0.0	15.85	15.85	0.0
20.08.2071	00.00.00	0.166666666666606	15.1833333333333	15.1833333333333	0.0
21.08.2071	00.00.00	1.3	18.8	18.8	0.0
22.08.2071	00.00.00	0.55	19.1666666666667	19.1666666666667	0.0
23.08.2071	00.00.00	2.1	17.8	17.8	0.0
24.08.2071	00.00.00	30.6264150943397	16.0875	16.0875	0.0
25.08.2071	00.00.00	0.1	11.45	11.45	0.0
26.08.2071	00.00.00	53.022905027933	11.85	11.85	0.0
27.08.2071	00.00.00	0.0	11.55	11.55	0.0
28.08.2071	00.00.00	0.0	10.55	10.55	0.0
29.08.2071	00.00.00	0.0	11.55	11.55	0.0
30.08.2071	00.00.00	0.0	11.75	11.75	0.0
31.08.2071	00.00.00	0.0	13.05	13.05	0.0
01.09.2071	00.00.00	0.0	11.95	11.95	0.0
02.09.2071	00.00.00	0.0	13.55	13.55	0.0
03.09.2071	00.00.00	0.0	13.55	13.55	0.0
04.09.2071	00.00.00	3.4	12.05	12.05	0.0
05.09.2071	00.00.00	46.1809467803588	11.35	11.35	0.0
06.09.2071	00.00.00	2.23333333333333	11.85	11.85	0.0
07.09.2071	00.00.00	29.4161234991424	8.45	8.45	0.0
08.09.2071	00.00.00	0.0	10.65	10.65	0.0
09.09.2071	00.00.00	0.0	11.35	11.35	0.0
10.09.2071	00.00.00	0.0	11.55	11.55	0.0
11.09.2071	00.00.00	0.0	12.05	12.05	0.0
12.09.2071	00.00.00	0.7	11.65	11.65	0.0
13.09.2071	00.00.00	0.0	12.7833333333333	12.7833333333333	0.0
14.09.2071	00.00.00	0.0	11.65	11.65	0.0
15.09.2071	00.00.00	0.0	9.81666666666667	9.81666666666667	0.0
16.09.2071	00.00.00	0.0	10.35	10.35	0.0
17.09.2071	00.00.00	0.0	10.65	10.65	0.0
18.09.2071	00.00.00	0.1	12.7833333333333	12.7833333333333	0.0
19.09.2071	00.00.00	0.1	11.65	11.65	0.0
20.09.2071	00.00.00	0.0	10.2833333333333	10.2833333333333	0.0
21.09.2071	00.00.00	0.0	9.88333333333333	9.88333333333333	0.0
22.09.2071	00.00.00	4.5	11.1041666666667	11.1041666666667	0.0
23.09.2071	00.00.00	2.0	10.15	10.15	0.0
24.09.2071	00.00.00	13.5333333333333	9.81666666666667	9.81666666666667	0.0
25.09.2071	00.00.00	3.2	7.55	7.55	0.0
26.09.2071	00.00.00	0.55	5.55	5.55	0.0
27.09.2071	00.00.00	0.1	6.15	6.15	0.0
28.09.2071	00.00.00	2.16666666666667	10.8541666666667	10.8541666666667	0.0
29.09.2071	00.00.00	12.425	15.55	15.55	0.0
30.09.2071	00.00.00	8.9	16.64	16.64	0.0
01.10.2071	00.00.00	18.98125	13.75	13.75	0.0
02.10.2071	00.00.00	1.9	12.05	12.05	0.0
03.10.2071	00.00.00	0.1	9.55	9.55	0.0
04.10.2071	00.00.00	0.0	8.2	8.2	0.0
05.10.2071	00.00.00	0.0	6.95	6.95	0.0
06.10.2071	00.00.00	3.2	7.55	7.55	0.0
07.10.2071	00.00.00	5.2	10.55	10.55	0.0
08.10.2071	00.00.00	41.7716847985887	9.35	9.35	0.0
09.10.2071	00.00.00	0.0	7.05	7.05	0.0
10.10.2071	00.00.00	4.4	9.81666666666667	9.81666666666667	0.0
11.10.2071	00.00.00	12.175	8.85	8.85	0.0
12.10.2071	00.00.00	0.7	6.55	6.55	0.0
13.10.2071	00.00.00	0.0	5.25	5.25	0.0
14.10.2071	00.00.00	0.0	8.55	8.55	0.0
15.10.2071	00.00.00	0.0	10.2166666666667	10.2166666666667	0.0
16.10.2071	00.00.00	1.25	7.15	7.15	0.0
17.10.2071	00.00.00	0.4	3.75	3.75	0.0
18.10.2071	00.00.00	0.0	1.91666666666667	1.91666666666667	0.0
19.10.2071	00.00.00	0.0	0.95	0.95	0.0
20.10.2071	00.00.00	0.0	1.15	1.15	0.0
21.10.2071	00.00.00	22.9142857142857	4.85	4.85	0.0
22.10.2071	00.00.00	12.675	6.85	6.85	0.0
23.10.2071	00.00.00	0.166666666666606	3.55	3.55	0.0
24.10.2071	00.00.00	27.7014577259476	5.71666666666667	5.71666666666667	0.0
25.10.2071	00.00.00	65.4904733901794	9.75	9.75	0.0
26.10.2071	00.00.00	5.2	7.75	7.75	0.0
27.10.2071	00.00.00	45.4967509556014	7.65	7.65	0.0
28.10.2071	00.00.00	0.9	6.85	6.85	0.0
29.10.2071	00.00.00	2.16666666666667	5.85	5.85	0.0
30.10.2071	00.00.00	0.0	4.15	4.15	0.0
31.10.2071	00.00.00	0.0	1.98333333333333	1.98333333333333	0.0
01.11.2071	00.00.00	0.8	4.15	4.15	0.0
02.11.2071	00.00.00	42.0757718318142	7.35	7.35	0.0
03.11.2071	00.00.00	0.0	4.75	4.75	0.0
04.11.2071	00.00.00	10.0	7.35	7.35	0.0
05.11.2071	00.00.00	1.6	7.45	7.45	0.0
06.11.2071	00.00.00	7.75	10.75	10.75	0.0
07.11.2071	00.00.00	2.75	9.88333333333333	9.88333333333333	0.0
08.11.2071	00.00.00	0.3	6.95	6.95	0.0
09.11.2071	00.00.00	0.3	4.65	4.65	0.0
10.11.2071	00.00.00	0.0	4.15	4.15	0.0
11.11.2071	00.00.00	3.3	2.35	2.35	0.0
12.11.2071	00.00.00	0.0	0.65	0.65	0.0
13.11.2071	00.00.00	11.1	4.65	4.65	0.0
14.11.2071	00.00.00	0.0	2.95	2.95	0.0
15.11.2071	00.00.00	0.0	4.55	4.55	0.0
16.11.2071	00.00.00	0.0	3.75	3.75	0.0
17.11.2071	00.00.00	0.0	2.3	2.3	0.0
18.11.2071	00.00.00	0.0	1.05	1.05	0.0
19.11.2071	00.00.00	0.0	2.3	2.3	0.0
20.11.2071	00.00.00	0.0	-0.372580645161281	-0.372580645161281	0.0
21.11.2071	00.00.00	0.0	0.4	0.4	0.0
22.11.2071	00.00.00	0.3	3.65	3.65	0.0
23.11.2071	00.00.00	0.0	6.55	6.55	0.0
24.11.2071	00.00.00	0.0	2.75	2.75	0.0
25.11.2071	00.00.00	0.0	0.35	0.35	0.0
26.11.2071	00.00.00	0.0	2.3	2.3	0.0
27.11.2071	00.00.00	0.0	2.3	2.3	0.0
28.11.2071	00.00.00	0.0	-0.132758620689645	-0.132758620689645	0.0
29.11.2071	00.00.00	0.0	-0.45	-0.45	0.0
30.11.2071	00.00.00	0.0	-0.372580645161281	-0.372580645161281	0.0
01.12.2071	00.00.00	0.0	-2.05	-2.05	0.0
02.12.2071	00.00.00	0.0	-3.225	-3.225	0.0
03.12.2071	00.00.00	0.0	-2.45	-2.45	0.0
04.12.2071	00.00.00	0.0	-1.95	-1.95	0.0
05.12.2071	00.00.00	0.0	-1.85	-1.85	0.0
06.12.2071	00.00.00	0.0	0.25	0.25	0.0
07.12.2071	00.00.00	0.0	-0.372580645161281	-0.372580645161281	0.0
08.12.2071	00.00.00	0.0	-1.05	-1.05	0.0
09.12.2071	00.00.00	0.0	-5.55561797752809	-5.55561797752809	0.0
10.12.2071	00.00.00	0.0	-6.0	-6.0	0.0
11.12.2071	00.00.00	2.23333333333333	-3.95	-3.95	0.0
12.12.2071	00.00.00	0.0	-2.05	-2.05	0.0
13.12.2071	00.00.00	0.0	-5.55561797752809	-5.55561797752809	0.0
14.12.2071	00.00.00	0.0	-4.62910447761194	-4.62910447761194	0.0
15.12.2071	00.00.00	0.0	-1.31666666666667	-1.31666666666667	0.0
16.12.2071	00.00.00	0.0	-3.375	-3.375	0.0
17.12.2071	00.00.00	0.0	0.05	0.05	0.0
18.12.2071	00.00.00	0.0	-1.05	-1.05	0.0
19.12.2071	00.00.00	0.0	-2.45	-2.45	0.0
20.12.2071	00.00.00	0.0	-5.27247191011236	-5.27247191011236	0.0
21.12.2071	00.00.00	0.0	-4.62910447761194	-4.62910447761194	0.0
22.12.2071	00.00.00	0.0	-2.15	-2.15	0.0
23.12.2071	00.00.00	0.1	-1.75	-1.75	0.0
24.12.2071	00.00.00	4.7	-1.05	-1.05	0.0
25.12.2071	00.00.00	2.6	0.45	0.45	0.0
26.12.2071	00.00.00	0.4	0.05	0.05	0.0
27.12.2071	00.00.00	13.1666666666667	1.55	1.55	0.0
28.12.2071	00.00.00	27.4705539358601	1.45	1.45	0.0
29.12.2071	00.00.00	4.6	-0.516666666666667	-0.516666666666667	0.0
30.12.2071	00.00.00	0.0	-4.45	-4.45	0.0
31.12.2071	00.00.00	0.0	-11.8145080946451	-11.8145080946451	0.0
01.01.2072	00.00.00	0.0	-15.8132627646326	-15.8132627646326	0.0
02.01.2072	00.00.00	1.0	-5.27247191011236	-5.27247191011236	0.0
03.01.2072	00.00.00	0.3	1.15	1.15	0.0
04.01.2072	00.00.00	0.0	1.35	1.35	0.0
05.01.2072	00.00.00	0.0	1.15	1.15	0.0
06.01.2072	00.00.00	6.2	-0.516666666666667	-0.516666666666667	0.0
07.01.2072	00.00.00	1.25	0.15	0.15	0.0
08.01.2072	00.00.00	15.5230769230769	1.91666666666667	1.91666666666667	0.0
09.01.2072	00.00.00	20.7840336134454	4.35	4.35	0.0
10.01.2072	00.00.00	1.0	5.78333333333333	5.78333333333333	0.0
11.01.2072	00.00.00	0.0	4.55	4.55	0.0
12.01.2072	00.00.00	1.8	4.95	4.95	0.0
13.01.2072	00.00.00	19.3	4.95	4.95	0.0
14.01.2072	00.00.00	11.1	5.05	5.05	0.0
15.01.2072	00.00.00	4.93333333333333	3.35	3.35	0.0
16.01.2072	00.00.00	1.5	3.45	3.45	0.0
17.01.2072	00.00.00	0.0	2.3	2.3	0.0
18.01.2072	00.00.00	0.5	0.4	0.4	0.0
19.01.2072	00.00.00	1.5	1.45	1.45	0.0
20.01.2072	00.00.00	2.0	0.65	0.65	0.0
21.01.2072	00.00.00	0.0	-4.35	-4.35	0.0
22.01.2072	00.00.00	0.0	-5.55561797752809	-5.55561797752809	0.0
23.01.2072	00.00.00	0.0	-4.53955223880597	-4.53955223880597	0.0
24.01.2072	00.00.00	0.0	-1.45	-1.45	0.0
25.01.2072	00.00.00	0.0	-0.8	-0.8	0.0
26.01.2072	00.00.00	3.66000000000008	1.45	1.45	0.0
27.01.2072	00.00.00	0.0	0.9	0.9	0.0
28.01.2072	00.00.00	7.21666666666667	5.78333333333333	5.78333333333333	0.0
29.01.2072	00.00.00	7.9	2.55	2.55	0.0
30.01.2072	00.00.00	2.45	1.05	1.05	0.0
31.01.2072	00.00.00	32.7444253859348	5.45	5.45	0.0
01.02.2072	00.00.00	0.2	0.9	0.9	0.0
02.02.2072	00.00.00	0.0	-0.21551724137929	-0.21551724137929	0.0
03.02.2072	00.00.00	14.1	-1.31666666666667	-1.31666666666667	0.0
04.02.2072	00.00.00	0.0	-8.71153846153846	-8.71153846153846	0.0
05.02.2072	00.00.00	0.0	-8.71153846153846	-8.71153846153846	0.0
06.02.2072	00.00.00	0.0	-8.37307692307692	-8.37307692307692	0.0
07.02.2072	00.00.00	0.0	-11.5069115815691	-11.5069115815691	0.0
08.02.2072	00.00.00	0.0	-9.86849056603774	-9.86849056603774	0.0
09.02.2072	00.00.00	0.0	-8.79615384615385	-8.79615384615385	0.0
10.02.2072	00.00.00	4.8	-3.575	-3.575	0.0
11.02.2072	00.00.00	28.7101200686107	0.85	0.85	0.0
12.02.2072	00.00.00	16.5230769230769	1.98333333333333	1.98333333333333	0.0
13.02.2072	00.00.00	0.95	1.15	1.15	0.0
14.02.2072	00.00.00	16.3076923076923	1.05	1.05	0.0
15.02.2072	00.00.00	26.4314868804666	1.45	1.45	0.0
16.02.2072	00.00.00	5.425	-0.21551724137929	-0.21551724137929	0.0
17.02.2072	00.00.00	0.0	0.25	0.25	0.0
18.02.2072	00.00.00	0.5	-1.25	-1.25	0.0
19.02.2072	00.00.00	0.0	-4.35	-4.35	0.0
20.02.2072	00.00.00	0.0	-5.76666666666667	-5.76666666666667	0.0
21.02.2072	00.00.00	3.3	0.25	0.25	0.0
22.02.2072	00.00.00	0.0	3.45	3.45	0.0
23.02.2072	00.00.00	0.0	-1.25	-1.25	0.0
24.02.2072	00.00.00	0.0	-1.75	-1.75	0.0
25.02.2072	00.00.00	0.0	0.55	0.55	0.0
26.02.2072	00.00.00	0.0	1.05	1.05	0.0
27.02.2072	00.00.00	2.6	2.61666666666667	2.61666666666667	0.0
28.02.2072	00.00.00	21.8932773109244	3.05	3.05	0.0
29.02.2072	00.00.00	0.0	1.55	1.55	0.0
01.03.2072	00.00.00	0.0	2.68333333333333	2.68333333333333	0.0
02.03.2072	00.00.00	3.74000000000012	3.35	3.35	0.0
03.03.2072	00.00.00	0.0	0.95	0.95	0.0
04.03.2072	00.00.00	1.25	0.55	0.55	0.0
05.03.2072	00.00.00	16.1153846153846	1.55	1.55	0.0
06.03.2072	00.00.00	0.166666666666606	0.15	0.15	0.0
07.03.2072	00.00.00	0.0	-0.21551724137929	-0.21551724137929	0.0
