Date	Baseline	corre_cnrmcclm
2071-09-02	0	0
2071-09-03	0	0
2071-09-04	0	0
2071-09-05	0	0
2071-09-06	0	0
2071-09-07	0	0
2071-09-08	0	0
2071-09-09	0	0
2071-09-10	0	0
2071-09-11	0	0
2071-09-12	0	0
2071-09-13	0	0
2071-09-14	0	0
2071-09-15	0	0
2071-09-16	0	0
2071-09-17	0	0
2071-09-18	0	0
2071-09-19	0	0
2071-09-20	0	0
2071-09-21	0	0
2071-09-22	0	0
2071-09-23	0	0
2071-09-24	0	0
2071-09-25	0	0
2071-09-26	0	0
2071-09-27	0	0
2071-09-28	0	0
2071-09-29	0	0
2071-09-30	0	0
2071-10-01	0	0
2071-10-02	0	0
2071-10-03	0	0
2071-10-04	0	0
2071-10-05	0	0
2071-10-06	0	0
2071-10-07	0	0
2071-10-08	0	0
2071-10-09	0	0
2071-10-10	0	0
2071-10-11	0	0
2071-10-12	0	0
2071-10-13	0	0
2071-10-14	0	0
2071-10-15	0	0
2071-10-16	0	0
2071-10-17	0	0
2071-10-18	0	0
2071-10-19	0	0
2071-10-20	0	0
2071-10-21	0	0
2071-10-22	0	0
2071-10-23	0	0
2071-10-24	0	0
2071-10-25	0	0
2071-10-26	0	0
2071-10-27	0	0
2071-10-28	0	0
2071-10-29	0	0
2071-10-30	0	0
2071-10-31	0	0
2071-11-01	0	0
2071-11-02	0	0
2071-11-03	0	0
2071-11-04	0	0
2071-11-05	0	0
2071-11-06	0	0
2071-11-07	0	0
2071-11-08	0	0
2071-11-09	0	0
2071-11-10	0	0
2071-11-11	0	0
2071-11-12	0	0
2071-11-13	0	0
2071-11-14	0	0
2071-11-15	0.11	0
2071-11-16	1.745	0
2071-11-17	1.745	0
2071-11-18	5.652	0
2071-11-19	5.477	0
2071-11-20	5.477	0
2071-11-21	5.566	0
2071-11-22	7.464	0
2071-11-23	12.256	0
2071-11-24	6.548	0
2071-11-25	0.613	0
2071-11-26	0.013	0
2071-11-27	0	0
2071-11-28	0	0
2071-11-29	0	0
2071-11-30	0	0
2071-12-01	3.154	0
2071-12-02	3.154	0
2071-12-03	3.154	0
2071-12-04	16.47	0
2071-12-05	16.47	0
2071-12-06	34.934	0
2071-12-07	31.097	0
2071-12-08	36.823	0
2071-12-09	41.238	0
2071-12-10	39.587	0
2071-12-11	40.274	0
2071-12-12	40.475	0
2071-12-13	40.475	0
2071-12-14	40.475	0
2071-12-15	40.475	0
2071-12-16	40.563	0.965
2071-12-17	68.26	0
2071-12-18	76.465	0
2071-12-19	76.465	0
2071-12-20	76.465	8.09
2071-12-21	76.465	22.151
2071-12-22	80.815	13.67
2071-12-23	104.255	14.228
2071-12-24	103.289	10.859
2071-12-25	89.86	7.233
2071-12-26	84.537	6.923
2071-12-27	90.811	6.923
2071-12-28	90.9	6.923
2071-12-29	90.9	21.077
2071-12-30	90.989	22.44
2071-12-31	91.166	22.44
2072-01-01	95.232	22.44
2072-01-02	92.376	22.44
2072-01-03	91.092	22.44
2072-01-04	83.344	14.93
2072-01-05	86.841	10.661
2072-01-06	84.775	6.271
2072-01-07	81.606	4.758
2072-01-08	73.586	3.657
2072-01-09	65.974	3.403
2072-01-10	68.334	2.782
2072-01-11	69.707	2.153
2072-01-12	65.226	1.713
2072-01-13	63.663	0.757
2072-01-14	67.308	0.725
2072-01-15	67.308	0.433
2072-01-16	67.308	0.822
2072-01-17	61.272	3.879
2072-01-18	54.05	10.004
2072-01-19	54.026	10.004
2072-01-20	53.527	10.004
2072-01-21	52.78	10.004
2072-01-22	60.761	9.305
2072-01-23	61.738	2.667
2072-01-24	61.738	0.676
2072-01-25	61.738	0.252
2072-01-26	61.738	0
2072-01-27	60.849	0
2072-01-28	58.119	0
2072-01-29	72.519	0
2072-01-30	78.328	0
2072-01-31	96.59	0
2072-02-01	97.034	0
2072-02-02	112.658	0
2072-02-03	116.778	0
2072-02-04	119.281	0
2072-02-05	109.328	0
2072-02-06	96.477	7.158
2072-02-07	86.194	11.771
2072-02-08	83.459	10.289
2072-02-09	88.179	8.39
2072-02-10	87.096	6.19
2072-02-11	88.051	5.854
2072-02-12	80.943	5.854
2072-02-13	91.041	9.673
2072-02-14	93.559	16.18
2072-02-15	96.666	14.028
2072-02-16	96.666	12.704
2072-02-17	97.198	11.908
2072-02-18	97.198	11.908
2072-02-19	103.235	11.908
2072-02-20	103.235	11.908
2072-02-21	103.235	11.908
2072-02-22	107.94	11.908
2072-02-23	107.94	11.888
2072-02-24	123.707	11.888
2072-02-25	123.949	11.818
2072-02-26	131.311	12.669
2072-02-27	127.801	12.669
2072-02-28	124.039	12.669
2072-02-29	122.046	12.669
2072-03-01	138.635	12.669
2072-03-02	138.06	12.669
2072-03-03	165.192	12.669
2072-03-04	165.109	13.262
2072-03-05	165.109	37.059
2072-03-06	169.345	23.802
2072-03-07	160.406	15.879
2072-03-08	158.414	12.631
2072-03-09	156.753	8.64
2072-03-10	156.753	5.822
2072-03-11	165.62	4.515
2072-03-12	165.62	3.799
2072-03-13	164.652	3.55
2072-03-14	159.183	2.891
2072-03-15	163.863	2.083
2072-03-16	164.928	1.407
2072-03-17	163.943	1.097
2072-03-18	159.435	1.305
2072-03-19	155.072	1.221
2072-03-20	148.334	1.173
2072-03-21	140.018	1.173
2072-03-22	136.214	1.173
2072-03-23	136.152	1.111
2072-03-24	136.152	1.111
2072-03-25	136.117	1.111
2072-03-26	137.629	0.934
2072-03-27	137.187	0.787
2072-03-28	137.187	0.787
2072-03-29	137.187	0.63
2072-03-30	136.677	0.579
2072-03-31	131.846	0.398
2072-04-01	125.016	0.162
2072-04-02	122.69	0.035
2072-04-03	131.06	0
2072-04-04	153.445	0
2072-04-05	157.44	0
2072-04-06	157.44	0
2072-04-07	152.536	0
2072-04-08	141.838	0
2072-04-09	137.166	0
2072-04-10	133.563	0
2072-04-11	129.022	0
2072-04-12	124.294	0
2072-04-13	119.116	0
2072-04-14	116.866	0
2072-04-15	114.214	0
2072-04-16	112.735	0
2072-04-17	110.827	0
2072-04-18	106.362	0
2072-04-19	100.846	0
2072-04-20	94.969	0
2072-04-21	88.33	0
2072-04-22	82.111	0
2072-04-23	75.222	0
2072-04-24	70.585	0
2072-04-25	68.051	0
2072-04-26	63.634	0
2072-04-27	58.916	0
2072-04-28	53.882	0
2072-04-29	47.675	0
2072-04-30	40.874	0
2072-05-01	35.21	0
2072-05-02	31.144	0
2072-05-03	29.726	0
2072-05-04	27.833	0
2072-05-05	25.661	0
2072-05-06	22.805	0
2072-05-07	20.397	0
2072-05-08	18.069	0
2072-05-09	15.515	0
2072-05-10	13.402	0
2072-05-11	11.569	0
2072-05-12	10.308	0
2072-05-13	9.106	0
2072-05-14	7.464	0
2072-05-15	5.963	0
2072-05-16	4.681	0
2072-05-17	3.313	0
2072-05-18	2.55	0
2072-05-19	1.997	0
2072-05-20	1.621	0
2072-05-21	1.305	0
2072-05-22	0.991	0
2072-05-23	0.626	0
2072-05-24	0.333	0
2072-05-25	0.171	0
2072-05-26	0.064	0
2072-05-27	0.007	0
2072-05-28	0	0
2072-05-29	0	0
2072-05-30	0	0
2072-05-31	0	0
2072-06-01	0	0
2072-06-02	0	0
2072-06-03	0	0
2072-06-04	0	0
2072-06-05	0	0
2072-06-06	0	0
2072-06-07	0	0
2072-06-08	0	0
2072-06-09	0	0
2072-06-10	0	0
2072-06-11	0	0
2072-06-12	0	0
2072-06-13	0	0
2072-06-14	0	0
2072-06-15	0	0
2072-06-16	0	0
2072-06-17	0	0
2072-06-18	0	0
2072-06-19	0	0
2072-06-20	0	0
2072-06-21	0	0
2072-06-22	0	0
2072-06-23	0	0
2072-06-24	0	0
2072-06-25	0	0
2072-06-26	0	0
2072-06-27	0	0
2072-06-28	0	0
2072-06-29	0	0
2072-06-30	0	0
2072-07-01	0	0
2072-07-02	0	0
2072-07-03	0	0
2072-07-04	0	0
2072-07-05	0	0
2072-07-06	0	0
2072-07-07	0	0
2072-07-08	0	0
2072-07-09	0	0
2072-07-10	0	0
2072-07-11	0	0
2072-07-12	0	0
2072-07-13	0	0
2072-07-14	0	0
2072-07-15	0	0
2072-07-16	0	0
2072-07-17	0	0
2072-07-18	0	0
2072-07-19	0	0
2072-07-20	0	0
2072-07-21	0	0
2072-07-22	0	0
2072-07-23	0	0
2072-07-24	0	0
2072-07-25	0	0
2072-07-26	0	0
2072-07-27	0	0
2072-07-28	0	0
2072-07-29	0	0
2072-07-30	0	0
2072-07-31	0	0
2072-08-01	0	0
2072-08-02	0	0
2072-08-03	0	0
2072-08-04	0	0
2072-08-05	0	0
2072-08-06	0	0
2072-08-07	0	0
2072-08-08	0	0
2072-08-09	0	0
2072-08-10	0	0
2072-08-11	0	0
2072-08-12	0	0
2072-08-13	0	0
2072-08-14	0	0
2072-08-15	0	0
2072-08-16	0	0
2072-08-17	0	0
2072-08-18	0	0
2072-08-19	0	0
2072-08-20	0	0
2072-08-21	0	0
2072-08-22	0	0
2072-08-23	0	0
2072-08-24	0	0
2072-08-25	0	0
2072-08-26	0	0
2072-08-27	0	0
2072-08-28	0	0
2072-08-29	0	0
2072-08-30	0	0
2072-08-31	0	0
2072-09-01	0	0
2072-09-02	0	0
2072-09-03	0	0
2072-09-04	0	0
2072-09-05	0	0
2072-09-06	0	0
2072-09-07	0	0
2072-09-08	0	0
2072-09-09	0	0
2072-09-10	0	0
2072-09-11	0	0
2072-09-12	0	0
2072-09-13	0	0
2072-09-14	0	0
2072-09-15	0	0
